trained_original,input_original,input_size,generation_num,similarity_to_trained,similarity_to_input
paradise_lost.txt,treasure_island.txt,3,100,0.9155253276894131,0.9032576767462568
divine_comedy.txt,shakespeare.txt,1,100,0.9294110385233993,0.7708533162083299
treasure_island.txt,shakespeare.txt,5,100,0.9641250254543325,0.8311654862338109
treasure_island.txt,paradise_lost.txt,5,100,0.9618753151219817,0.8577839947756496
iliad.txt,treasure_island.txt,1,100,0.9675958947177449,0.8719958296483626
paradise_lost.txt,iliad.txt,1,100,0.9416680687611558,0.9356183049239248
treasure_island.txt,treasure_island.txt,1,100,0.9650401920690992,0.9650401920690992
treasure_island.txt,treasure_island.txt,3,100,0.9671915498973384,0.9671915498973384
iliad.txt,iliad.txt,5,100,0.9670910306442324,0.9670910306442324
iliad.txt,treasure_island.txt,3,100,0.9647129130385683,0.8897970714572353
paradise_lost.txt,iliad.txt,3,100,0.9392121203935577,0.9418926310046447
divine_comedy.txt,shakespeare.txt,3,100,0.9245131739569961,0.777650406637298
paradise_lost.txt,treasure_island.txt,1,100,0.9186597833063948,0.8876698609292676
paradise_lost.txt,treasure_island.txt,5,100,0.9208785350744482,0.9234680023042321
treasure_island.txt,shakespeare.txt,3,100,0.9684094516721722,0.8311902239396831
treasure_island.txt,paradise_lost.txt,3,100,0.9576574432321192,0.8709311005525758
iliad.txt,iliad.txt,1,100,0.9627610069459062,0.9627610069459062
treasure_island.txt,treasure_island.txt,5,100,0.972942395596847,0.972942395596847
iliad.txt,iliad.txt,3,100,0.965091443769613,0.965091443769613
paradise_lost.txt,iliad.txt,5,100,0.9385183299113542,0.9512817348706715
iliad.txt,treasure_island.txt,5,100,0.9507586818016514,0.8777235021533054
treasure_island.txt,paradise_lost.txt,1,100,0.9608651792848513,0.8513893253320933
treasure_island.txt,shakespeare.txt,1,100,0.9655019990315233,0.7909425494145431
divine_comedy.txt,shakespeare.txt,5,100,0.9342344697859085,0.8235053282258111
divine_comedy.txt,treasure_island.txt,3,100,0.9335813497828245,0.8817706851299945
divine_comedy.txt,paradise_lost.txt,3,100,0.9464820780880503,0.842530288569338
shakespeare.txt,paradise_lost.txt,3,100,0.9331623919653278,0.9008360243831787
iliad.txt,divine_comedy.txt,3,100,0.9648293693196596,0.8874772689937361
paradise_lost.txt,shakespeare.txt,5,100,0.9447014453330308,0.8662556801419062
shakespeare.txt,shakespeare.txt,1,100,0.9369555202826468,0.9369555202826468
treasure_island.txt,iliad.txt,5,100,0.9643834093252328,0.944183317828292
paradise_lost.txt,paradise_lost.txt,5,100,0.9578564889906906,0.9578564889906906
shakespeare.txt,shakespeare.txt,3,100,0.9403213091431007,0.9403213091431007
iliad.txt,divine_comedy.txt,1,100,0.9622196193853747,0.8602437624993884
divine_comedy.txt,paradise_lost.txt,1,100,0.9336168336768532,0.8190651697803735
shakespeare.txt,paradise_lost.txt,1,100,0.9407261228287389,0.8862706431582961
divine_comedy.txt,treasure_island.txt,1,100,0.934298864479246,0.8801391705146514
divine_comedy.txt,treasure_island.txt,5,100,0.9307865820158084,0.899334504740581
shakespeare.txt,paradise_lost.txt,5,100,0.9365492322136577,0.9127790414245519
divine_comedy.txt,paradise_lost.txt,5,100,0.9524242691863594,0.8515034383590899
iliad.txt,divine_comedy.txt,5,100,0.9703442289385311,0.8927444682850645
paradise_lost.txt,shakespeare.txt,3,100,0.9331816054298059,0.8287263527195805
paradise_lost.txt,paradise_lost.txt,1,100,0.9453045945437588,0.9453045945437588
treasure_island.txt,iliad.txt,1,100,0.9587074881493031,0.9377300064740427
treasure_island.txt,iliad.txt,3,100,0.9618180298989587,0.9426494426213314
paradise_lost.txt,paradise_lost.txt,3,100,0.9282026489401164,0.9282026489401164
shakespeare.txt,shakespeare.txt,5,100,0.9558238802357212,0.9558238802357212
